01-01-2004: spread difference: 47.93454104442469, phi(-d2): 0.22898014859, A/N: 1.2372934161194198,2.28809265328e-08, E: 1469074000.0,B: 6190959800.0, noShares: 118.28293075684381, LGD: 0.212087725643, phi ratio: 0.51155775481, exp: 1.2448312766875311

02-01-2004: spread difference: 47.99308542601315, phi(-d2): 0.228875586021, A/N: 1.2374844736203212,2.29068326172e-08, E: 1470256829.3075686,B: 6190959800.0, noShares: 118.28293075684381, LGD: 0.212062932304, phi ratio: 0.511494869238, exp: 1.2448312766875311

05-01-2004: spread difference: 38.71289516500053, phi(-d2): 0.226094607667, A/N: 1.2407324511356432,2.2816227891e-08, E: 1490364927.536232,B: 6190959800.0, noShares: 118.28293075684381, LGD: 0.211402741043, phi ratio: 0.509818027882, exp: 1.246699924738229

06-01-2004: spread difference: 31.561442457007175, phi(-d2): 0.231723411751, A/N: 1.2378665886221238,2.33557708062e-08, E: 1472622487.9227054,B: 6190959800.0, noShares: 118.28293075684381, LGD: 0.212737458228, phi ratio: 0.51320346586, exp: 1.2392421209744888

07-01-2004: spread difference: 29.06776920689559, phi(-d2): 0.233779694054, A/N: 1.2353828411104066,2.34084673828e-08, E: 1457245706.9243157,B: 6190959800.0, noShares: 118.28293075684381, LGD: 0.213223577421, phi ratio: 0.514431910291, exp: 1.2380034982680859

08-01-2004: spread difference: 28.956724738486727, phi(-d2): 0.232722196734, A/N: 1.2372934161194198,2.32618931603e-08, E: 1469074000.0,B: 6190959800.0, noShares: 118.28293075684381, LGD: 0.212973672556, phi ratio: 0.513800694165, exp: 1.2380034982680859

09-01-2004: spread difference: 27.74391685339276, phi(-d2): 0.241668264418, A/N: 1.2311795760905782,2.38578671115e-08, E: 1431223462.15781,B: 6190959800.0, noShares: 118.28293075684381, LGD: 0.21508180627, phi ratio: 0.51910531713, exp: 1.228138980961869

12-01-2004: spread difference: 31.121034293044573, phi(-d2): 0.242753221935, A/N: 1.229269001081565,2.38156856131e-08, E: 1419395169.0821257,B: 6190959800.0, noShares: 118.28293075684381, LGD: 0.215336601865, phi ratio: 0.519743358808, exp: 1.228138980961869

13-01-2004: spread difference: 36.53644965159464, phi(-d2): 0.242247641949, A/N: 1.2338543811031963,2.42182676468e-08, E: 1447783072.4637682,B: 6190959800.0, noShares: 118.28293075684381, LGD: 0.215217891693, phi ratio: 0.519446175704, exp: 1.2244600851219147

14-01-2004: spread difference: 39.23167744139859, phi(-d2): 0.244081590717, A/N: 1.233090151099591,2.44062267747e-08, E: 1443051755.2334943,B: 6190959800.0, noShares: 118.28293075684381, LGD: 0.215648321153, phi ratio: 0.520523040401, exp: 1.2220136122400438

15-01-2004: spread difference: 41.201253858883135, phi(-d2): 0.245001466688, A/N: 1.2327080360977885,2.44982078028e-08, E: 1440686096.6183577,B: 6190959800.0, noShares: 118.28293075684381, LGD: 0.215864030624, phi ratio: 0.521061997077, exp: 1.2207922094309918

16-01-2004: spread difference: 40.33621631952579, phi(-d2): 0.24411710444, A/N: 1.2311795760905782,2.41685248699e-08, E: 1431223462.15781,B: 6190959800.0, noShares: 118.28293075684381, LGD: 0.215656651347, phi ratio: 0.520543862484, exp: 1.223848008111358

19-01-2004: spread difference: -102.95143653554302, phi(-d2): 0.448429215121, A/N: 1.2311795760905782,6.52145610703e-08, E: 1431223462.15781,B: 6190959800.0, noShares: 118.28293075684381, LGD: 0.263460330461, phi ratio: 0.628911395996, exp: 0.951229424500714

20-01-2004: spread difference: 48.78807211273286, phi(-d2): 0.243041927755, A/N: 1.230606403587874,2.39537632286e-08, E: 1427674974.2351048,B: 6190959800.0, noShares: 118.28293075684381, LGD: 0.215404372773, phi ratio: 0.519912954082, exp: 1.2262981534562105

21-01-2004: spread difference: 44.288339059477224, phi(-d2): 0.243114501456, A/N: 1.2323259210959858,2.41428885173e-08, E: 1438320438.0032208,B: 6190959800.0, noShares: 118.28293075684381, LGD: 0.215421406793, phi ratio: 0.519955573959, exp: 1.2244600851219147

22-01-2004: spread difference: 51.0521911713723, phi(-d2): 0.245765163844, A/N: 1.2313706335914794,2.47004917719e-08, E: 1432406291.4653785,B: 6190959800.0, noShares: 118.28293075684381, LGD: 0.216043023959, phi ratio: 0.521508856021, exp: 1.2207922094309918

23-01-2004: spread difference: 44.19683143465605, phi(-d2): 0.242041414957, A/N: 1.231752748593282,2.41952329263e-08, E: 1434771950.0805156,B: 6190959800.0, noShares: 118.28293075684381, LGD: 0.215169458512, phi ratio: 0.519324884943, exp: 1.226911455845759

26-01-2004: spread difference: 53.487095824294755, phi(-d2): 0.239496217151, A/N: 1.2319438060941834,2.38454745501e-08, E: 1435954779.388084,B: 6190959800.0, noShares: 118.28293075684381, LGD: 0.214571169549, phi ratio: 0.51782461162, exp: 1.2312131695488677

27-01-2004: spread difference: 47.486444154276924, phi(-d2): 0.240372008886, A/N: 1.2334722661013937,2.4130348633e-08, E: 1445417413.8486314,B: 6190959800.0, noShares: 118.28293075684381, LGD: 0.214777152222, phi ratio: 0.518341549625, exp: 1.228138980961869

28-01-2004: spread difference: 48.17173292899001, phi(-d2): 0.237418159797, A/N: 1.2319438060941834,2.35456729893e-08, E: 1435954779.388084,B: 6190959800.0, noShares: 118.28293075684381, LGD: 0.214081926661, phi ratio: 0.516595051929, exp: 1.2349123550613943

