-0.140000,+0.001188
-0.130000,+0.001832
-0.120000,+0.002778
-0.110000,+0.004144
-0.100000,+0.006083
-0.090000,+0.008788
-0.080000,+0.012493
-0.070000,+0.017482
-0.060000,+0.024080
-0.050000,+0.032656
-0.040000,+0.043606
-0.030000,+0.057344
-0.020000,+0.074280
-0.010000,+0.094793
+0.000000,+0.119204
+0.010000,+0.147746
+0.020000,+0.180538
+0.030000,+0.217551
+0.040000,+0.258602
+0.050000,+0.303335
+0.060000,+0.351230
+0.070000,+0.401613
+0.080000,+0.453690
+0.090000,+0.506576
+0.100000,+0.559347
+0.110000,+0.611083
+0.120000,+0.660919
+0.130000,+0.708086
+0.140000,+0.751947
